time_s,time_ms,lane,type,duration_s,kind,strength,beat
1.5408,1541,1,tap,0.0000,hat,1.587,4.0000
2.2684,2268,2,tap,0.0000,snare,1.598,6.0000
2.6302,2630,1,hold,0.4898,hat,1.762,7.0000
3.3574,3357,1,hold,0.3626,hat,1.711,9.0000
3.7205,3720,3,tap,0.0000,snare,1.603,10.0000
4.4486,4449,2,tap,0.0000,snare,1.679,12.0000
4.8101,4810,1,hold,0.4799,hat,1.790,13.0000
5.5379,5538,3,hold,0.3621,snare,1.658,15.0000
5.9006,5901,1,tap,0.0000,hat,1.638,16.0000
6.2625,6262,2,hold,0.5075,snare,1.635,17.0000
6.9893,6989,3,hold,0.5007,snare,1.778,19.0000
7.7179,7718,2,hold,0.4721,hat,1.725,21.0000
8.4417,8442,1,hold,0.5083,hat,1.705,23.0000
9.1691,9169,2,hold,0.4809,hat,1.838,25.0000
9.8964,9896,1,hold,0.3636,hat,1.593,27.0000
10.2596,10260,2,tap,0.0000,snare,1.731,28.0000
10.6218,10622,1,hold,0.4982,hat,1.618,29.0000
11.3488,11349,1,tap,0.0000,hat,1.710,31.0000
11.7086,11709,3,tap,0.0000,snare,3.732,32.0000
12.0720,12072,2,tap,0.0000,snare,2.573,33.0000
12.4391,12439,3,tap,0.0000,snare,1.866,34.0000
13.1678,13168,0,hold,0.3422,kick,1.972,36.0000
13.5292,13529,1,hold,0.3608,kick,2.098,37.0000
13.8911,13891,0,hold,0.7089,kick,1.996,38.0000
14.6192,14619,1,hold,0.3608,kick,2.071,40.0000
14.9809,14981,0,hold,0.6991,kick,2.061,41.0000
15.7084,15708,1,hold,0.3616,kick,2.081,43.0000
16.0712,16071,0,hold,0.7288,kick,1.885,44.0000
16.7987,16799,1,hold,0.3413,kick,1.957,46.0000
17.1604,17160,0,hold,0.7096,kick,2.059,47.0000
17.8879,17888,1,hold,0.6921,kick,1.970,49.0000
18.6124,18612,0,hold,0.3476,kick,1.946,51.0000
18.9789,18979,1,hold,0.7111,kick,1.945,52.0000
19.7064,19706,0,hold,0.3436,kick,1.827,54.0000
20.0691,20069,1,hold,0.3409,kick,1.858,55.0000
20.4310,20431,0,hold,0.7290,kick,2.005,56.0000
21.1587,21159,1,hold,0.3313,kick,1.922,58.0000
21.5203,21520,0,hold,0.7297,kick,1.859,59.0000
22.2490,22249,1,hold,0.3410,kick,1.863,61.0000
22.6102,22610,0,hold,0.3398,kick,1.958,62.0000
23.3377,23338,1,hold,0.3623,kick,1.913,64.0000
23.6998,23700,0,hold,0.3402,kick,1.841,65.0000
24.4280,24428,1,hold,0.3620,kick,1.714,67.0000
24.7926,24793,0,hold,0.7274,kick,1.553,68.0000
25.5183,25518,1,hold,0.3617,kick,1.546,70.0000
25.8810,25881,0,hold,0.7290,kick,1.361,71.0000
26.6086,26609,1,hold,0.3414,kick,1.343,73.0000
26.9694,26969,0,hold,0.3306,kick,1.596,74.0000
27.3330,27333,1,hold,0.7270,kick,1.330,75.0000
28.0615,28061,0,hold,0.3585,kick,1.186,77.0000
28.4219,28422,1,hold,0.7281,kick,1.434,78.0000
29.1495,29150,0,hold,0.7305,kick,1.526,80.0000
29.8775,29878,1,hold,0.3625,kick,0.962,82.0000
30.2395,30239,0,hold,0.7305,kick,0.907,83.0000
30.9684,30968,1,hold,0.3616,kick,0.832,85.0000
31.3297,31330,0,hold,0.7303,kick,0.999,86.0000
32.0566,32057,1,hold,0.3634,kick,1.009,88.0000
32.4199,32420,0,hold,0.3401,kick,1.106,89.0000
32.7826,32783,1,hold,0.7274,kick,1.171,90.0000
33.5097,33510,0,hold,0.7303,kick,1.111,92.0000
