time_s,time_ms,lane,type,duration_s,kind,strength,beat
0.4522,452,0,tap,0.0000,kick,0.360,1.0000
0.7184,718,1,tap,0.0000,hat,0.086,1.7500
0.8072,807,2,tap,0.0000,melodic,0.086,2.0000
0.9365,936,1,tap,0.0000,snare,0.082,2.3333
1.0011,1001,2,tap,0.0000,melodic,0.073,2.5000
1.0981,1098,1,tap,0.0000,hat,0.072,2.7500
1.1950,1195,0,tap,0.0000,hat,0.086,3.0000
1.1960,1196,3,tap,0.0000,snare,0.106,3.0000
1.3679,1368,1,tap,0.0000,kick,1.566,3.5000
1.5408,1541,2,tap,0.0000,hat,1.587,4.0000
1.7226,1723,0,tap,0.0000,kick,1.258,4.5000
1.9043,1904,1,tap,0.0000,hat,1.490,5.0000
2.0864,2086,1,tap,0.0000,kick,0.930,5.5000
2.1471,2147,2,tap,0.0000,snare,0.467,5.6667
2.2684,2268,3,tap,0.0000,snare,1.598,6.0000
2.4493,2449,0,tap,0.0000,kick,1.348,6.5000
2.6302,2630,2,tap,0.0000,hat,1.762,7.0000
2.8130,2813,1,tap,0.0000,kick,0.941,7.5000
2.9957,2996,1,tap,0.0000,hat,1.545,8.0000
3.1766,3177,0,tap,0.0000,kick,1.167,8.5000
3.3574,3357,2,tap,0.0000,hat,1.711,9.0000
3.5389,3539,1,tap,0.0000,kick,1.085,9.5000
3.5994,3599,2,tap,0.0000,snare,0.505,9.6667
3.7205,3720,3,tap,0.0000,snare,1.603,10.0000
3.9019,3902,0,tap,0.0000,kick,1.409,10.5000
4.0833,4083,2,tap,0.0000,snare,1.554,11.0000
4.2659,4266,1,tap,0.0000,kick,0.895,11.5000
4.3268,4327,3,tap,0.0000,snare,0.462,11.6667
4.4486,4449,2,tap,0.0000,snare,1.679,12.0000
4.6294,4629,0,tap,0.0000,kick,1.329,12.5000
4.8101,4810,1,tap,0.0000,hat,1.790,13.0000
4.9915,4991,1,tap,0.0000,kick,0.877,13.5000
5.1728,5173,3,tap,0.0000,snare,1.573,14.0000
5.3554,5355,0,tap,0.0000,kick,1.214,14.5000
5.5379,5538,2,tap,0.0000,snare,1.658,15.0000
5.7193,5719,1,tap,0.0000,kick,1.000,15.5000
5.7797,5780,3,tap,0.0000,snare,0.363,15.6667
5.9006,5901,2,tap,0.0000,hat,1.638,16.0000
