time_s,time_ms,lane,type,duration_s,kind,strength,beat
0.4522,452,0,hold,0.9178,kick,0.360,1.0000
1.3679,1368,1,tap,0.0000,kick,1.566,3.5000
1.5408,1541,0,tap,0.0000,hat,1.587,4.0000
1.7226,1723,1,tap,0.0000,kick,1.258,4.5000
1.9043,1904,2,tap,0.0000,hat,1.490,5.0000
2.0864,2086,1,tap,0.0000,kick,0.930,5.5000
2.2684,2268,2,tap,0.0000,snare,1.598,6.0000
2.4493,2449,0,tap,0.0000,kick,1.348,6.5000
2.6302,2630,1,tap,0.0000,hat,1.762,7.0000
2.8130,2813,0,tap,0.0000,kick,0.941,7.5000
2.9957,2996,2,tap,0.0000,hat,1.545,8.0000
3.1766,3177,0,tap,0.0000,kick,1.167,8.5000
3.3574,3357,1,tap,0.0000,hat,1.711,9.0000
3.5389,3539,0,tap,0.0000,kick,1.085,9.5000
3.7205,3720,3,tap,0.0000,snare,1.603,10.0000
3.9019,3902,0,tap,0.0000,kick,1.409,10.5000
4.0833,4083,2,tap,0.0000,snare,1.554,11.0000
4.2659,4266,1,tap,0.0000,kick,0.895,11.5000
4.4486,4449,3,tap,0.0000,snare,1.679,12.0000
4.6294,4629,0,tap,0.0000,kick,1.329,12.5000
4.8101,4810,2,tap,0.0000,hat,1.790,13.0000
4.9915,4991,1,tap,0.0000,kick,0.877,13.5000
5.1728,5173,2,tap,0.0000,snare,1.573,14.0000
5.3554,5355,0,tap,0.0000,kick,1.214,14.5000
5.5379,5538,3,tap,0.0000,snare,1.658,15.0000
5.7193,5719,1,tap,0.0000,kick,1.000,15.5000
5.9006,5901,0,tap,0.0000,hat,1.638,16.0000
6.0816,6082,1,tap,0.0000,kick,1.423,16.5000
6.2625,6262,2,tap,0.0000,snare,1.635,17.0000
6.4453,6445,1,tap,0.0000,kick,0.933,17.5000
6.6281,6628,2,tap,0.0000,hat,1.589,18.0000
6.8087,6809,0,tap,0.0000,kick,1.369,18.5000
6.9893,6989,3,tap,0.0000,snare,1.778,19.0000
7.1717,7172,1,tap,0.0000,kick,0.936,19.5000
7.3541,7354,2,tap,0.0000,snare,1.495,20.0000
7.5360,7536,0,tap,0.0000,kick,1.266,20.5000
7.7179,7718,1,tap,0.0000,hat,1.725,21.0000
7.8988,7899,0,tap,0.0000,kick,0.913,21.5000
8.0796,8080,3,tap,0.0000,snare,1.683,22.0000
8.2606,8261,0,tap,0.0000,kick,1.378,22.5000
8.4417,8442,2,tap,0.0000,hat,1.705,23.0000
8.6247,8625,1,tap,0.0000,kick,0.790,23.5000
8.8078,8808,2,tap,0.0000,snare,1.603,24.0000
8.9885,8988,0,tap,0.0000,kick,1.296,24.5000
9.1691,9169,1,tap,0.0000,hat,1.838,25.0000
9.3513,9351,0,tap,0.0000,kick,0.984,25.5000
9.5335,9533,2,tap,0.0000,hat,1.558,26.0000
9.7149,9715,0,tap,0.0000,kick,1.310,26.5000
9.8964,9896,1,tap,0.0000,hat,1.593,27.0000
