time_s,time_ms,lane,type,duration_s,kind,strength,beat
1.5408,1541,1,tap,0.0000,hat,1.587,4.0000
1.9043,1904,2,hold,0.3657,hat,1.490,5.0000
2.2684,2268,1,tap,0.0000,snare,1.598,6.0000
2.6302,2630,0,hold,0.3698,hat,1.762,7.0000
2.9957,2996,2,tap,0.0000,hat,1.545,8.0000
3.3574,3357,1,hold,0.3626,hat,1.711,9.0000
3.7205,3720,3,tap,0.0000,snare,1.603,10.0000
4.0833,4083,2,hold,0.3667,snare,1.554,11.0000
4.4486,4449,3,tap,0.0000,snare,1.679,12.0000
4.8101,4810,2,hold,0.3599,hat,1.790,13.0000
5.1728,5173,1,tap,0.0000,snare,1.573,14.0000
5.5379,5538,3,hold,0.3621,snare,1.658,15.0000
5.9006,5901,1,tap,0.0000,hat,1.638,16.0000
6.2625,6262,2,hold,0.3675,snare,1.635,17.0000
6.6281,6628,1,tap,0.0000,hat,1.589,18.0000
6.9893,6989,3,hold,0.3607,snare,1.778,19.0000
7.3541,7354,2,tap,0.0000,snare,1.495,20.0000
7.7179,7718,1,hold,0.3621,hat,1.725,21.0000
8.0796,8080,3,tap,0.0000,snare,1.683,22.0000
8.4417,8442,2,hold,0.3683,hat,1.705,23.0000
8.8078,8808,1,tap,0.0000,snare,1.603,24.0000
9.1691,9169,0,hold,0.3609,hat,1.838,25.0000
9.5335,9533,2,tap,0.0000,hat,1.558,26.0000
9.8964,9896,1,hold,0.3636,hat,1.593,27.0000
10.2596,10260,3,tap,0.0000,snare,1.731,28.0000
10.6218,10622,2,hold,0.3682,hat,1.618,29.0000
10.9867,10987,1,tap,0.0000,snare,1.493,30.0000
11.3488,11349,0,tap,0.0000,hat,1.710,31.0000
11.7086,11709,3,tap,0.0000,snare,3.732,32.0000
12.0720,12072,2,tap,0.0000,snare,2.573,33.0000
12.4391,12439,3,tap,0.0000,snare,1.866,34.0000
12.8044,12804,2,hold,0.3656,hat,0.569,35.0000
13.1678,13168,0,hold,0.3422,kick,1.972,36.0000
13.5292,13529,1,hold,0.3608,kick,2.098,37.0000
13.8911,13891,0,hold,0.3689,kick,1.996,38.0000
14.2564,14256,1,hold,0.3436,kick,1.868,39.0000
14.6192,14619,0,hold,0.3608,kick,2.071,40.0000
14.9809,14981,1,hold,0.3691,kick,2.061,41.0000
15.3466,15347,0,hold,0.3334,kick,1.835,42.0000
15.7084,15708,1,hold,0.3616,kick,2.081,43.0000
16.0712,16071,0,hold,0.3688,kick,1.885,44.0000
16.4353,16435,1,hold,0.3647,kick,1.738,45.0000
16.7987,16799,0,hold,0.3413,kick,1.957,46.0000
17.1604,17160,1,hold,0.3696,kick,2.059,47.0000
17.5261,17526,0,hold,0.3439,kick,1.681,48.0000
17.8879,17888,1,hold,0.3621,kick,1.970,49.0000
18.2521,18252,0,hold,0.3379,kick,1.906,50.0000
18.6124,18612,1,hold,0.3476,kick,1.946,51.0000
18.9789,18979,0,hold,0.3611,kick,1.945,52.0000
19.3417,19342,1,hold,0.3683,kick,1.617,53.0000
19.7064,19706,0,hold,0.3436,kick,1.827,54.0000
20.0691,20069,1,hold,0.3409,kick,1.858,55.0000
20.4310,20431,0,hold,0.3590,kick,2.005,56.0000
20.7946,20795,1,hold,0.3654,kick,1.527,57.0000
21.1587,21159,0,hold,0.3313,kick,1.922,58.0000
21.5203,21520,1,hold,0.3597,kick,1.859,59.0000
21.8847,21885,2,hold,0.3653,snare,1.600,60.0000
